date,day,cases
1916-05-12,-1,-1
1916-05-13,0,0
1916-05-14,1,0
1916-05-15,2,0
1916-05-16,3,0
1916-05-17,4,0
1916-05-18,5,4
1916-05-19,6,7
1916-05-20,7,7
1916-05-21,8,1
1916-05-22,9,1
1916-05-23,10,1
1916-05-24,11,1
1916-05-25,12,1
1916-05-26,13,0
1916-05-27,14,0
1916-05-28,15,0
