Born in,AgeC,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10
,,20,25,30,35,40,45,50,55,60,65
1960,55,2,27,53,63,71,77,79,80,,
1970,45,2,21,50,65,71,73,,,,
1980,35,1,15,35,44,,,,,,
1990,25,0,8,,,,,,,,
