year,homes
1980,1.3
1981,2.2
1982,3.5
1983,5.7
1984,9.9
1985,18
1986,30
1987,40
1988,52
1989,64
1990,69
1991,74
1992,78
1993,80
1994,81
1995,87
1996,88
1997,90
1998,91
1999,92
2000,93
2001,94
2002,94
